,startTime,endTime,control,transitionType,targetLocX,targetLocY,targetLocZ,targetRotX,targetRotY,targetRotZ,targetDimX,targetDimY,targetDimZ,targetType,uid,sid,cid,interfaceID,numClicks,draggingDuration,resetIKNum,topViewDuration,sideViewDuration,frontViewDuration,numViewSwitches,cycleLength
36,1604086979.756,1604086985.432,drag,press/release,5.60193567322064,3.9652683540199307,-1.0243717237306655,90,0,0,0.13466814850809788,0.13466814850809788,1.0,cylinder,YEke5m26ZyfKGdM6fZEHN2f3IEB3,-MKv17AK8bEsVYj5A_hS,-MKv1CmgR2XM0i0kUYiZ,drag-press/release,4,3.027,0,3.782,1.894,0.0,2,5.675999879837036
37,1604087001.919,1604087025.673,drag,press/release,2.245461879736785,1.469985230952099,1.22798656383402,0,90,90,0.15891057525491714,2.1393710316277117,0.3011024125827653,box,YEke5m26ZyfKGdM6fZEHN2f3IEB3,-MKv17AK8bEsVYj5A_hS,-MKv1IBzD2IpIdA4TAJN,drag-press/release,14,1604087016.117,0,7.332,9.226,7.196,6,23.754000186920166
38,1604086989.2,1604086998.021,drag,press/release,2.739142351871329,1.8550532024945814,0.7902163563506299,0,0,90,0.15891057525491714,2.1393710316277117,0.3011024125827653,box,YEke5m26ZyfKGdM6fZEHN2f3IEB3,-MKv17AK8bEsVYj5A_hS,-MKv1F5GrnKyf85S2kXF,drag-press/release,6,1604087000.73,0,7.79,3.198,-2.167,4,8.82099986076355
39,1604086971.85,1604086975.753,drag,press/release,6.238305257527265,2.577062739950977,-0.7668407846369678,90,0,0,0.13466814850809788,0.13466814850809788,1.0,cylinder,YEke5m26ZyfKGdM6fZEHN2f3IEB3,-MKv17AK8bEsVYj5A_hS,-MKv1Ar9y-ddhpOmALWK,drag-press/release,2,1.916,0,3.903,0.0,0.0,1,3.9030001163482666
40,1604017403.86,1604017659.813,target,click,2.024397164689357,2.8570668121707907,-3.633998745289069,0,0,90,0.0952793621225638,2.1733751976893774,0.31023888529015486,box,im9dfYKlm7cM4PKbiGqeP8XsY963,-MKqshLKuuYUbXXGsClQ,-MKqsnUJUps0BiIYQ_mY,target-click,140,-1.0,3,12.564,24.407,218.982,12,255.95300006866455
41,1604017664.741,1604017686.171,target,click,2.923241753150479,1.8533587647093044,-0.8711469515825034,0,90,90,0.0952793621225638,2.1733751976893774,0.31023888529015486,box,im9dfYKlm7cM4PKbiGqeP8XsY963,-MKqshLKuuYUbXXGsClQ,-MKqtnA__1h9CKGqFWKm,target-click,9,-1.0,0,30.586,-2.629,-6.527,5,21.430000066757202
42,1604017690.9,1604017701.833,target,click,3.9727177813466485,1.0210899070889514,1.189047435320397,0,45,90,0.0952793621225638,2.1733751976893774,0.31023888529015486,box,im9dfYKlm7cM4PKbiGqeP8XsY963,-MKqshLKuuYUbXXGsClQ,-MKqttZJYkVbAvkOwKc0,target-click,4,-1.0,0,14.819,0.0,-3.886,3,10.932999849319458
43,1604017391.709,1604017399.841,target,click,5.250090767566352,3.7339336082535626,-1.692678096553855,90,0,0,0.13736827770483118,0.13736827770483118,1.0,cylinder,im9dfYKlm7cM4PKbiGqeP8XsY963,-MKqshLKuuYUbXXGsClQ,-MKqskWSPbssnZl1gMWT,target-click,4,-1.0,0,5.181,2.951,0.0,2,8.131999969482422
44,1604017383.179,1604017387.106,target,click,6.251332970072623,1.8711209847672015,-0.8839359534297423,90,0,0,0.13736827770483118,0.13736827770483118,1.0,cylinder,im9dfYKlm7cM4PKbiGqeP8XsY963,-MKqshLKuuYUbXXGsClQ,-MKqsiRAcuB6To4tMjag,target-click,2,-1.0,0,3.927,0.0,0.0,1,3.927000045776367
45,1604011919.566,1604011924.014,drag,press/release,6.308707705605059,2.438532467462244,-0.6746525017690786,90,0,0,0.13843515989334249,0.13843515989334249,1.0,cylinder,hpQCCzLfbxU17uCtcTEA8boKsm83,-MKqYrLqsUF8t0cMPAM2,-MKqYsYDgCSUsa9iOXrf,drag-press/release,2,2.648,0,4.448,0.0,0.0,1,4.447999954223633
