,startTime,endTime,control,transitionType,targetX,targetY,targetTheta,threshXY,threshTheta,uid,sid,cid,interfaceID,numClicks,draggingDuration,cycleLength,targetDistance
40,1599758935.96,1599758941.189,targetdrag,press/release,517.484133913315,392.2102271360917,-38.25566177438628,21.212689527514957,47.87486701360764,0PVGvqS893cOmDxgan51nj5CvBo1,-MGt2i5TLx33EGXNWN-8,-MGt31TNNjUS28jTAcSF,targetdrag-press/release,2,1.974,5.228999853134155,215.09143728720997
41,1599758945.661,1599758951.757,targetdrag,press/release,434.488365780192,239.72075247570072,-116.01750652039212,24.995416945406753,49.962120785915076,0PVGvqS893cOmDxgan51nj5CvBo1,-MGt2i5TLx33EGXNWN-8,-MGt33pxuqMw2uT39aEk,targetdrag-press/release,2,3.9,6.0959999561309814,78.04198399516791
42,1599758955.991,1599758962.666,targetdrag,press/release,405.612867648185,279.2718394915017,5.59259795234285,23.415906387173386,59.63747567084569,0PVGvqS893cOmDxgan51nj5CvBo1,-MGt2i5TLx33EGXNWN-8,-MGt36MMVVpQBMaHQ6S9,targetdrag-press/release,2,4.69,6.674999952316284,57.26774980020772
43,1599758966.791,1599758971.014,targetdrag,press/release,311.56458262335263,260.1573326795728,-54.64525972367764,14.189434457907181,49.52999423389525,0PVGvqS893cOmDxgan51nj5CvBo1,-MGt2i5TLx33EGXNWN-8,-MGt39-6sV9j-z2ht8Ls,targetdrag-press/release,2,1.741,4.2230000495910645,46.78528855006467
44,1599758975.071,1599758996.848,targetdrag,press/release,342.2237666661669,269.9793953620038,75.93859146996053,5.3759749688102385,11.01683790077568,0PVGvqS893cOmDxgan51nj5CvBo1,-MGt2i5TLx33EGXNWN-8,-MGt3B0UNUJncxKnNGoF,targetdrag-press/release,8,13.144,21.776999950408936,25.660711238996218
45,1599759001.105,1599759010.457,targetdrag,press/release,259.9481475933113,370.82995439507454,-173.1121288257267,7.037214771474771,17.349192026520267,0PVGvqS893cOmDxgan51nj5CvBo1,-MGt2i5TLx33EGXNWN-8,-MGt3HNG7ax96nCIdFf2,targetdrag-press/release,4,5.742,9.351999998092651,155.76135542385225
46,1599759014.751,1599759026.675,targetdrag,press/release,410.7714711161719,274.9930375780888,-170.63607356819335,16.57000392893662,24.615242778424886,0PVGvqS893cOmDxgan51nj5CvBo1,-MGt2i5TLx33EGXNWN-8,-MGt3KhUr7dW8SB6WM6W,targetdrag-press/release,6,7.813,11.924000024795532,59.72444314125702
47,1599759030.806,1599759038.395,targetdrag,press/release,484.47499476012433,221.40023293163773,23.51598146332489,29.402396778256886,37.692510991788396,0PVGvqS893cOmDxgan51nj5CvBo1,-MGt2i5TLx33EGXNWN-8,-MGt3OcLjq2HPIX5QFWe,targetdrag-press/release,2,5.038,7.58899998664856,130.42860664486753
48,1599759042.64,1599759048.885,targetdrag,press/release,382.58468169225574,365.1554511852648,62.458366981565035,13.168594789205258,10.670362672271422,0PVGvqS893cOmDxgan51nj5CvBo1,-MGt2i5TLx33EGXNWN-8,-MGt3RWFvwx4XUt2_kN5,targetdrag-press/release,2,4.195,6.244999885559082,118.93975272105821
49,1599759053.359,1599759058.254,targetdrag,press/release,244.52070801642014,146.152795330917,-54.28362584423161,19.92170677995551,24.31179556294835,0PVGvqS893cOmDxgan51nj5CvBo1,-MGt2i5TLx33EGXNWN-8,-MGt3U7j8rI9RSgRIQ1G,targetdrag-press/release,2,2.616,4.894999980926514,152.41108435206297
